feature1,feature2,feature3,feature4,feature5,fraud_label
3807.947176588889,41,22,0,3552.6148091298433,1
9512.07163345817,69,29,0,6029.077189997659,0
7346.740023932911,28,14,0,6587.636730274382,1
6026.718993550662,66,28,0,2361.8907703653285,0
1644.5845403801216,25,5,0,3225.1122310013375,0
1644.345751328406,53,47,0,1941.151733359849,0
675.0277604651747,55,49,0,4595.889748333163,1
8675.143843171858,57,30,1,6076.313383693943,0
6051.038616257767,37,46,1,7253.535578144042,0
7109.9185201808505,52,5,0,5111.142170629662,1
303.7864935284442,65,12,0,7442.923318356938,1
9702.107536403744,42,16,1,2929.847812677663,1
8341.182143924176,52,26,0,2444.926340967268,1
2202.157195714934,42,26,0,4916.6784516550715,0
1900.067175350296,46,48,1,5576.098173408961,0
1915.704647548995,35,21,0,4950.95787785886,0
3111.9982052994233,63,39,1,1898.836849940185,0
5295.0886731591545,35,36,0,4866.3199407308175,1
4376.255684556946,19,33,1,3043.2957492427204,0
2983.168487960615,52,30,1,6004.508823245058,0
6157.343657751557,33,37,1,5549.897369145272,1
1480.989220455214,58,23,0,3590.1803205089673,0
2992.23202049866,53,10,1,4229.199623994959,0
3726.9822486075477,50,5,0,3411.1797171665726,0
4615.0928437486555,21,36,0,4905.981354090242,0
7873.242017790834,50,34,0,6432.713480751858,0
2076.7704433677613,31,31,0,3521.410930496684,0
5190.9209402947545,38,10,1,5756.069773276767,1
5964.90423173422,65,19,1,4204.613572441339,1
559.8590859279775,37,32,0,3810.690751606484,0
6114.69403382424,25,1,0,4839.454460068163,0
1788.1888245041862,24,5,1,3447.136516370939,1
744.0107705542672,20,45,0,4169.526041979227,0
9493.966818808,34,4,1,3203.183161116727,0
9659.757127438137,50,16,0,7947.087699374584,0
8103.133746352965,65,24,0,5052.895327957593,1
3115.67631481637,29,16,1,3950.4117380111215,0
1066.9539286632003,68,2,0,5320.969866101333,1
6873.906962470353,39,49,1,4831.507925463755,0
4457.509688022053,39,28,0,4668.545600700166,1
1308.1785249633103,63,32,0,5921.250050065138,1
5002.251410101575,47,27,0,6136.261565070958,0
440.4463590406621,55,20,1,4204.2482785842085,1
9102.271980579942,55,24,0,4136.27263903298,0
2661.9218178401675,62,12,0,4587.422454272534,1
6658.970615104421,68,35,0,1547.1182528966228,0
3185.9396532851683,25,33,0,2727.2134067021716,0
5248.673409660327,44,33,1,7050.311401166788,1
5512.431765498469,44,43,1,7467.451570251926,0
1930.0591097027177,51,37,0,4626.445940665432,0
9698.88781486913,38,12,1,5864.835444583649,1
7773.814951275034,47,3,0,5466.875231815304,0
9401.039521485473,50,1,0,9618.321212682857,0
8958.790769233723,45,33,0,6679.362367151865,1
6019.209790229743,64,40,1,4808.123612778851,1
9226.554926728857,50,10,1,3566.6893390993614,0
976.075770314003,22,43,1,2590.330519613641,0
2040.2303379495374,65,44,1,5305.195453800835,1
547.7501602143268,36,29,1,3865.4738820735447,1
3320.770274556317,21,13,1,2866.619435603489,0
3947.905167925872,52,12,1,4030.14067363621,1
2786.3554145615694,66,31,1,3377.6779945784074,0
8304.5013406041,34,46,1,7530.712452608847,0
3631.857934266534,61,2,0,6322.459635424176,0
2881.2516459050694,45,35,1,4988.041038025074,0
5472.69122326666,47,23,1,7219.916208335038,0
1495.14982725015,46,17,1,5116.052461471428,1
8041.750109464992,63,26,1,3708.0736980076044,1
838.0513724297311,23,8,1,7284.686115904486,1
9870.180672345121,52,29,1,5808.3650655269885,1
7745.2232160369085,58,26,1,3444.1307685103156,0
2067.285247188307,54,10,1,4714.491982874588,0
154.66895952366374,41,26,1,3686.5726199228643,0
8173.068141702858,46,34,1,2925.800403553496,0
7097.887704091409,66,41,1,6389.266321297462,1
7317.170963605774,63,7,0,7864.124960705196,0
7735.576432190863,48,4,0,2902.148639271288,0
833.0420521674946,52,45,1,5844.453855035857,1
3648.810712588299,50,11,1,4024.0361463172594,1
1247.1036892987843,69,29,0,4269.311924352956,1
8644.723916168376,38,36,1,4111.409113641696,1
6270.651455592823,49,25,0,3704.013845480276,0
3375.890446041227,40,21,0,5072.78244191724,0
729.227667831634,50,36,0,3753.5748253834436,1
3178.724984985056,20,10,0,5405.685238669758,0
3319.314888064796,35,37,0,4924.642835826295,0
7323.101165546835,42,9,1,4641.5779297003855,0
